"","Year","Missile","Number","Range","CEP","Guidance","Warheads"
"335",2000,"Trident C-4",192,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"336",2000,"Trident D-5",240,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"337",2001,"Polaris A-1",NA,"2,200km","3.7km","Inertial","1"
"338",2001,"Polaris A-2",NA,"2,700km","3.7km","Inertial","1"
"339",2001,"Polaris A-3",NA,"4,600km","1km","Inertial","3 (MRV)"
"340",2001,"Poseidon C-3",NA,"5,900km","560m","Inertial","10 (MIRV)"
"341",2001,"Trident C-4",168,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"342",2001,"Trident D-5",264,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"343",2002,"Polaris A-1",NA,"2,200km","3.7km","Inertial","1"
"344",2002,"Polaris A-2",NA,"2,700km","3.7km","Inertial","1"
"345",2002,"Polaris A-3",NA,"4,600km","1km","Inertial","3 (MRV)"
"346",2002,"Poseidon C-3",NA,"5,900km","560m","Inertial","10 (MIRV)"
"347",2002,"Trident C-4",168,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"348",2002,"Trident D-5",264,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"349",2003,"Polaris A-1",NA,"2,200km","3.7km","Inertial","1"
"350",2003,"Polaris A-2",NA,"2,700km","3.7km","Inertial","1"
"351",2003,"Polaris A-3",NA,"4,600km","1km","Inertial","3 (MRV)"
"352",2003,"Poseidon C-3",NA,"5,900km","560m","Inertial","10 (MIRV)"
"353",2003,"Trident C-4",72,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"354",2003,"Trident D-5",288,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"355",2004,"Polaris A-1",NA,"2,200km","3.7km","Inertial","1"
"356",2004,"Polaris A-2",NA,"2,700km","3.7km","Inertial","1"
"357",2004,"Polaris A-3",NA,"4,600km","1km","Inertial","3 (MRV)"
"358",2004,"Poseidon C-3",NA,"5,900km","560m","Inertial","10 (MIRV)"
"359",2004,"Trident C-4",48,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"360",2004,"Trident D-5",288,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"361",2005,"Polaris A-1",NA,"2,200km","3.7km","Inertial","1"
"362",2005,"Polaris A-2",NA,"2,700km","3.7km","Inertial","1"
"363",2005,"Polaris A-3",NA,"4,600km","1km","Inertial","3 (MRV)"
"364",2005,"Poseidon C-3",NA,"5,900km","560m","Inertial","10 (MIRV)"
"365",2005,"Trident C-4",NA,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"366",2005,"Trident D-5",288,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"367",2006,"Polaris A-1",NA,"2,200km","3.7km","Inertial","1"
"368",2006,"Polaris A-2",NA,"2,700km","3.7km","Inertial","1"
"369",2006,"Polaris A-3",NA,"4,600km","1km","Inertial","3 (MRV)"
"370",2006,"Poseidon C-3",NA,"5,900km","560m","Inertial","10 (MIRV)"
"371",2006,"Trident C-4",NA,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"372",2006,"Trident D-5",288,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"373",2007,"Polaris A-1",NA,"2,200km","3.7km","Inertial","1"
"374",2007,"Polaris A-2",NA,"2,700km","3.7km","Inertial","1"
"375",2007,"Polaris A-3",NA,"4,600km","1km","Inertial","3 (MRV)"
"376",2007,"Poseidon C-3",NA,"5,900km","560m","Inertial","10 (MIRV)"
"377",2007,"Trident C-4",NA,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"378",2007,"Trident D-5",288,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"379",2008,"Polaris A-1",NA,"2,200km","3.7km","Inertial","1"
"380",2008,"Polaris A-2",NA,"2,700km","3.7km","Inertial","1"
"381",2008,"Polaris A-3",NA,"4,600km","1km","Inertial","3 (MRV)"
"382",2008,"Poseidon C-3",NA,"5,900km","560m","Inertial","10 (MIRV)"
"383",2008,"Trident C-4",NA,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"384",2008,"Trident D-5",288,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"385",2009,"Polaris A-1",NA,"2,200km","3.7km","Inertial","1"
"386",2009,"Polaris A-2",NA,"2,700km","3.7km","Inertial","1"
"387",2009,"Polaris A-3",NA,"4,600km","1km","Inertial","3 (MRV)"
"388",2009,"Poseidon C-3",NA,"5,900km","560m","Inertial","10 (MIRV)"
"389",2009,"Trident C-4",NA,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"390",2009,"Trident D-5",288,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"391",2010,"Polaris A-1",NA,"2,200km","3.7km","Inertial","1"
"392",2010,"Polaris A-2",NA,"2,700km","3.7km","Inertial","1"
"393",2010,"Polaris A-3",NA,"4,600km","1km","Inertial","3 (MRV)"
"394",2010,"Poseidon C-3",NA,"5,900km","560m","Inertial","10 (MIRV)"
"395",2010,"Trident C-4",NA,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"396",2010,"Trident D-5",288,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"397",2011,"Polaris A-1",NA,"2,200km","3.7km","Inertial","1"
"398",2011,"Polaris A-2",NA,"2,700km","3.7km","Inertial","1"
"399",2011,"Polaris A-3",NA,"4,600km","1km","Inertial","3 (MRV)"
"400",2011,"Poseidon C-3",NA,"5,900km","560m","Inertial","10 (MIRV)"
"401",2011,"Trident C-4",NA,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"402",2011,"Trident D-5",288,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"403",2012,"Polaris A-1",NA,"2,200km","3.7km","Inertial","1"
"404",2012,"Polaris A-2",NA,"2,700km","3.7km","Inertial","1"
"405",2012,"Polaris A-3",NA,"4,600km","1km","Inertial","3 (MRV)"
"406",2012,"Poseidon C-3",NA,"5,900km","560m","Inertial","10 (MIRV)"
"407",2012,"Trident C-4",NA,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"408",2012,"Trident D-5",288,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"409",2013,"Polaris A-1",NA,"2,200km","3.7km","Inertial","1"
"410",2013,"Polaris A-2",NA,"2,700km","3.7km","Inertial","1"
"411",2013,"Polaris A-3",NA,"4,600km","1km","Inertial","3 (MRV)"
"412",2013,"Poseidon C-3",NA,"5,900km","560m","Inertial","10 (MIRV)"
"413",2013,"Trident C-4",NA,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"414",2013,"Trident D-5",288,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"415",2014,"Polaris A-1",NA,"2,200km","3.7km","Inertial","1"
"416",2014,"Polaris A-2",NA,"2,700km","3.7km","Inertial","1"
"417",2014,"Polaris A-3",NA,"4,600km","1km","Inertial","3 (MRV)"
"418",2014,"Poseidon C-3",NA,"5,900km","560m","Inertial","10 (MIRV)"
"419",2014,"Trident C-4",NA,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"420",2014,"Trident D-5",288,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"421",2015,"Polaris A-1",NA,"2,200km","3.7km","Inertial","1"
"422",2015,"Polaris A-2",NA,"2,700km","3.7km","Inertial","1"
"423",2015,"Polaris A-3",NA,"4,600km","1km","Inertial","3 (MRV)"
"424",2015,"Poseidon C-3",NA,"5,900km","560m","Inertial","10 (MIRV)"
"425",2015,"Trident C-4",NA,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"426",2015,"Trident D-5",288,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"427",2016,"Polaris A-1",NA,"2,200km","3.7km","Inertial","1"
"428",2016,"Polaris A-2",NA,"2,700km","3.7km","Inertial","1"
"429",2016,"Polaris A-3",NA,"4,600km","1km","Inertial","3 (MRV)"
"430",2016,"Poseidon C-3",NA,"5,900km","560m","Inertial","10 (MIRV)"
"431",2016,"Trident C-4",NA,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"432",2016,"Trident D-5",288,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"433",2017,"Polaris A-1",NA,"2,200km","3.7km","Inertial","1"
"434",2017,"Polaris A-2",NA,"2,700km","3.7km","Inertial","1"
"435",2017,"Polaris A-3",NA,"4,600km","1km","Inertial","3 (MRV)"
"436",2017,"Poseidon C-3",NA,"5,900km","560m","Inertial","10 (MIRV)"
"437",2017,"Trident C-4",NA,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"438",2017,"Trident D-5",288,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"439",2018,"Polaris A-1",NA,"2,200km","3.7km","Inertial","1"
"440",2018,"Polaris A-2",NA,"2,700km","3.7km","Inertial","1"
"441",2018,"Polaris A-3",NA,"4,600km","1km","Inertial","3 (MRV)"
"442",2018,"Poseidon C-3",NA,"5,900km","560m","Inertial","10 (MIRV)"
"443",2018,"Trident C-4",NA,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"444",2018,"Trident D-5",280,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"445",2019,"Polaris A-1",NA,"2,200km","3.7km","Inertial","1"
"446",2019,"Polaris A-2",NA,"2,700km","3.7km","Inertial","1"
"447",2019,"Polaris A-3",NA,"4,600km","1km","Inertial","3 (MRV)"
"448",2019,"Poseidon C-3",NA,"5,900km","560m","Inertial","10 (MIRV)"
"449",2019,"Trident C-4",NA,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"450",2019,"Trident D-5",280,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"451",2020,"Polaris A-1",NA,"2,200km","3.7km","Inertial","1"
"452",2020,"Polaris A-2",NA,"2,700km","3.7km","Inertial","1"
"453",2020,"Polaris A-3",NA,"4,600km","1km","Inertial","3 (MRV)"
"454",2020,"Poseidon C-3",NA,"5,900km","560m","Inertial","10 (MIRV)"
"455",2020,"Trident C-4",NA,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"456",2020,"Trident D-5",280,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"457",2021,"Polaris A-1",NA,"2,200km","3.7km","Inertial","1"
"458",2021,"Polaris A-2",NA,"2,700km","3.7km","Inertial","1"
"459",2021,"Polaris A-3",NA,"4,600km","1km","Inertial","3 (MRV)"
"460",2021,"Poseidon C-3",NA,"5,900km","560m","Inertial","10 (MIRV)"
"461",2021,"Trident C-4",NA,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"462",2021,"Trident D-5",280,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"463",2022,"Polaris A-1",NA,"2,200km","3.7km","Inertial","1"
"464",2022,"Polaris A-2",NA,"2,700km","3.7km","Inertial","1"
"465",2022,"Polaris A-3",NA,"4,600km","1km","Inertial","3 (MRV)"
"466",2022,"Poseidon C-3",NA,"5,900km","560m","Inertial","10 (MIRV)"
"467",2022,"Trident C-4",NA,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"468",2022,"Trident D-5",280,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"469",2023,"Polaris A-1",NA,"2,200km","3.7km","Inertial","1"
"470",2023,"Polaris A-2",NA,"2,700km","3.7km","Inertial","1"
"471",2023,"Polaris A-3",NA,"4,600km","1km","Inertial","3 (MRV)"
"472",2023,"Poseidon C-3",NA,"5,900km","560m","Inertial","10 (MIRV)"
"473",2023,"Trident C-4",NA,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"474",2023,"Trident D-5",280,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
